ID,Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),CO2 Emissions(g/km)
27,AUDI,A6 QUATTRO,MID-SIZE,2,4,AS8,Z,12,8.1,235
28,AUDI,A6 QUATTRO,MID-SIZE,3,6,AS8,Z,12.8,8.6,251
29,AUDI,A6 QUATTRO TDI (modified),MID-SIZE,3,6,AS8,D,9.8,6.2,217
30,AUDI,A7 QUATTRO,MID-SIZE,3,6,AS8,Z,13.3,8.5,262
31,AUDI,A7 QUATTRO TDI (modified),MID-SIZE,3,6,AS8,D,9.8,6.2,217
32,AUDI,A8,MID-SIZE,3,6,AS8,Z,13.1,8.8,258
33,AUDI,A8,MID-SIZE,4,8,AS8,Z,13.7,8.3,265
34,AUDI,A8 TDI (modified),MID-SIZE,3,6,AS8,D,9.8,6.5,224
35,AUDI,A8L,FULL-SIZE,3,6,AS8,Z,13.1,8.8,258
36,AUDI,A8L,FULL-SIZE,4,8,AS8,Z,14.7,9.7,288
37,AUDI,A8L,FULL-SIZE,6.3,12,AS8,Z,18.7,11.5,363
38,AUDI,A8L TDI (modified),FULL-SIZE,3,6,AS8,D,9.8,6.5,224
39,AUDI,ALLROAD QUATTRO,STATION WAGON - SMALL,2,4,AS8,Z,11.8,8.8,242
40,AUDI,Q5,SUV - SMALL,2,4,AS8,Z,12,8.5,239
41,AUDI,Q5,SUV - SMALL,3,6,AS8,Z,12.9,9.2,258
42,AUDI,Q5 TDI (modified),SUV - SMALL,3,6,AS8,D,10.2,7.8,244
43,AUDI,Q5 HYBRID,SUV - SMALL,2,4,AS8,Z,9.9,8.3,212
44,AUDI,Q7,SUV - STANDARD,3,6,AS8,Z,15.1,10.9,304
45,AUDI,Q7 TDI (modified),SUV - STANDARD,3,6,AS8,D,12.4,8.7,290
46,AUDI,R8,TWO-SEATER,4.2,8,A7,Z,17.6,11,336
47,AUDI,R8,TWO-SEATER,4.2,8,M6,Z,21.2,13.4,407
48,AUDI,R8,TWO-SEATER,5.2,10,A7,Z,18.2,10.6,347
49,AUDI,R8,TWO-SEATER,5.2,10,M6,Z,21.1,13.8,409
50,AUDI,R8 SPYDER,TWO-SEATER,4.2,8,A7,Z,17.6,11,336
51,AUDI,R8 SPYDER,TWO-SEATER,4.2,8,M6,Z,21.2,13.4,407
52,AUDI,R8 SPYDER,TWO-SEATER,5.2,10,A7,Z,18.2,10.6,347
53,AUDI,R8 SPYDER,TWO-SEATER,5.2,10,M6,Z,21.1,13.8,409
54,AUDI,RS 5,SUBCOMPACT,4.2,8,A7,Z,15.3,10.9,306
55,AUDI,RS 5 CABRIOLET,SUBCOMPACT,4.2,8,A7,Z,15.2,11.3,308
56,AUDI,RS 7,MID-SIZE,4,8,AS8,Z,15.5,8.8,293
57,AUDI,S4,COMPACT,3,6,A7,Z,13.2,9.2,262
58,AUDI,S4,COMPACT,3,6,M6,Z,14.6,9.8,285
59,AUDI,S5,SUBCOMPACT,3,6,A7,Z,13.2,9.2,262
60,AUDI,S5,SUBCOMPACT,3,6,M6,Z,14.6,9.8,285
61,AUDI,S5 CABRIOLET,SUBCOMPACT,3,6,A7,Z,13.3,9.5,267
62,AUDI,S6,MID-SIZE,4,8,A7,Z,14.2,9.7,281
63,AUDI,S7,MID-SIZE,4,8,A7,Z,14.2,9.7,281
64,AUDI,S8,MID-SIZE,4,8,AS8,Z,15.8,9.2,300
65,AUDI,SQ5,SUV - SMALL,3,6,AS8,Z,14.9,10.1,292
66,AUDI,TT COUPE QUATTRO,SUBCOMPACT,2,4,A6,Z,10.4,7.6,209
67,AUDI,TT ROADSTER QUATTRO,TWO-SEATER,2,4,A6,Z,10.4,7.6,209
68,AUDI,TTS COUPE QUATTRO,SUBCOMPACT,2,4,A6,Z,11.5,8.8,237
69,AUDI,TTS ROADSTER QUATTRO,TWO-SEATER,2,4,A6,Z,11.5,8.8,237
70,BENTLEY,CONTINENTAL GT,SUBCOMPACT,4,8,AS8,Z,16.3,9.8,314
71,BENTLEY,CONTINENTAL GT,SUBCOMPACT,6,12,AS8,Z,18.8,11.5,356
72,BENTLEY,CONTINENTAL GTC,SUBCOMPACT,4,8,AS8,Z,17.4,10.2,332
73,BENTLEY,CONTINENTAL GTC,SUBCOMPACT,6,12,AS8,Z,20,12.2,380
74,BENTLEY,CONTINENTAL GT SPEED CONVERTIBLE,SUBCOMPACT,6,12,AS8,Z,20,12.2,380
75,BENTLEY,FLYING SPUR,MID-SIZE,6,12,AS8,Z,20.3,11.9,388
76,BENTLEY,MULSANNE,MID-SIZE,6.8,8,AS8,Z,22.3,14.9,437
77,BMW,320i,COMPACT,2,4,A8,Z,10,6.5,193
78,BMW,320i,COMPACT,2,4,M6,Z,10.4,6.7,200
79,BMW,320i xDRIVE,COMPACT,2,4,A8,Z,10.2,7,202
80,BMW,328d xDRIVE,COMPACT,2,4,A8,D,7.6,5.5,181
81,BMW,328d xDRIVE TOURING,STATION WAGON - SMALL,2,4,A8,D,7.6,5.5,181
82,BMW,328i,COMPACT,2,4,A8,Z,10,6.5,193
83,BMW,328i,COMPACT,2,4,M6,Z,10.4,6.7,200
84,BMW,328i xDRIVE,COMPACT,2,4,A8,Z,10.6,7.2,209
85,BMW,328i xDRIVE GRAN TURISMO,FULL-SIZE,2,4,A8,Z,10.6,7.2,209
86,BMW,328i xDRIVE TOURING,STATION WAGON - SMALL,2,4,A8,Z,10.6,7.2,209
87,BMW,335i,COMPACT,3,6,A8,Z,11.4,7.3,221
88,BMW,335i,COMPACT,3,6,M6,Z,11.8,7.9,230
89,BMW,335i xDRIVE,COMPACT,3,6,A8,Z,11.7,7.8,228
90,BMW,335i xDRIVE,COMPACT,3,6,M6,Z,11.9,8.3,237
91,BMW,335i xDRIVE GRAN TURISMO,FULL-SIZE,3,6,A8,Z,11.9,8,232
92,BMW,428i COUPE,COMPACT,2,4,A8,Z,10,6.5,193
93,BMW,428i COUPE,COMPACT,2,4,M6,Z,10.4,6.7,200
94,BMW,428i xDRIVE COUPE,COMPACT,2,4,A8,Z,10.6,7.2,209
95,BMW,435i COUPE,COMPACT,3,6,A8,Z,11.4,7.3,221
96,BMW,435i COUPE,COMPACT,3,6,M6,Z,11.8,7.9,230
97,BMW,435i xDRIVE COUPE,COMPACT,3,6,A8,Z,11.7,7.8,228
98,BMW,435i xDRIVE COUPE,COMPACT,3,6,M6,Z,11.9,8.3,237
99,BMW,528i,MID-SIZE,2,4,A8,Z,10.2,7,202
100,BMW,528i xDRIVE,MID-SIZE,2,4,A8,Z,10.6,7.2,209
101,BMW,535d xDRIVE,MID-SIZE,3,6,A8,D,9.2,6.4,213
102,BMW,535i xDRIVE,MID-SIZE,3,6,A8,Z,11.9,8,232
103,BMW,535i xDRIVE GRAN TURISMO,FULL-SIZE,3,6,A8,Z,12.5,8.6,246
104,BMW,550i xDRIVE,MID-SIZE,4.4,8,A8,Z,14.4,9.6,281
105,BMW,550i xDRIVE GRAN TURISMO,FULL-SIZE,4.4,8,A8,Z,15,9.8,292
106,BMW,640i xDRIVE GRAN COUPE,COMPACT,3,6,A8,Z,11.9,8,232
107,BMW,650i xDRIVE CABRIOLET,SUBCOMPACT,4.4,8,A8,Z,15,9.8,292
108,BMW,650i xDRIVE COUPE,COMPACT,4.4,8,A8,Z,14.4,9.6,281
109,BMW,650i xDRIVE GRAN COUPE,COMPACT,4.4,8,A8,Z,15,9.8,292
110,BMW,740Li xDRIVE,FULL-SIZE,3,6,A8,Z,12.5,8.6,246
111,BMW,750i xDRIVE,FULL-SIZE,4.4,8,A8,Z,15,9.8,292
112,BMW,750Li xDRIVE,FULL-SIZE,4.4,8,A8,Z,15,9.8,292
113,BMW,760Li,FULL-SIZE,6,12,A8,Z,18.7,11.5,356
114,BMW,ACTIVEHYBRID 3,COMPACT,3,6,A8,Z,9.2,7.1,191
115,BMW,ACTIVEHYBRID 5,MID-SIZE,3,6,A8,Z,10.5,7.9,214
116,BMW,ACTIVEHYBRID 7L,FULL-SIZE,3,6,A8,Z,10.5,7.6,212
117,BMW,ALPINA B7 xDRIVE LWB,FULL-SIZE,4.4,8,A8,Z,15,9.8,292
118,BMW,ALPINA B7 xDRIVE SWB,FULL-SIZE,4.4,8,A8,Z,15,9.8,292
119,BMW,M5,MID-SIZE,4.4,8,AM7,Z,17.3,11.5,338
120,BMW,M5,MID-SIZE,4.4,8,M6,Z,16.2,10.9,317
121,BMW,M6,COMPACT,4.4,8,AM7,Z,17.3,11.5,338
122,BMW,M6,COMPACT,4.4,8,M6,Z,16.2,10.9,317
123,BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8,AM7,Z,17.3,11.5,338
124,BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8,M6,Z,16.2,10.9,317
125,BMW,M6 GRAN COUPE,COMPACT,4.4,8,AM7,Z,17.3,11.5,338
126,BMW,M6 GRAN COUPE,COMPACT,4.4,8,M6,Z,16.2,10.9,317
127,BMW,X1 xDRIVE28i,SUV - SMALL,2,4,A8,Z,10.6,7.2,209
128,BMW,X1 xDRIVE35i,SUV - SMALL,3,6,A6,Z,13.2,8.9,260
129,BMW,X3 xDRIVE28i,SUV - SMALL,2,4,A8,Z,11.2,8.5,230
130,BMW,X3 xDRIVE35i,SUV - SMALL,3,6,A8,Z,12.6,9.1,253
131,BMW,X5 xDRIVE35i,SUV - STANDARD,3,6,A8,Z,12.9,8.8,255
132,BMW,X5 xDRIVE50i,SUV - STANDARD,4.4,8,A8,Z,16.3,10.9,320
133,BMW,X6 M,SUV - STANDARD,4.4,8,A6,Z,18.1,13.7,370
134,BMW,X6 xDRIVE35i,SUV - STANDARD,3,6,A8,Z,13.6,9.8,274
135,BMW,X6 xDRIVE50i,SUV - STANDARD,4.4,8,A8,Z,16.4,11.3,324
136,BMW,Z4 sDRIVE28i,TWO-SEATER,2,4,A8,Z,10.8,7.1,209
137,BMW,Z4 sDRIVE28i,TWO-SEATER,2,4,M6,Z,10.4,6.7,200
138,BMW,Z4 sDRIVE35i,TWO-SEATER,3,6,AM7,Z,13.7,10.1,278
139,BMW,Z4 sDRIVE35i,TWO-SEATER,3,6,M6,Z,12.7,9,253
140,BMW,Z4 sDRIVE35is,TWO-SEATER,3,6,AM7,Z,13.7,10.1,278
141,BUICK,ENCLAVE,SUV - STANDARD,3.6,6,A6,X,14.3,9.9,283
142,BUICK,ENCLAVE AWD,SUV - STANDARD,3.6,6,A6,X,14.6,10.2,290
143,BUICK,ENCORE,SUV - SMALL,1.4,4,AS6,X,9.5,7.2,196
144,BUICK,ENCORE AWD,SUV - SMALL,1.4,4,AS6,X,10.2,8,212
145,BUICK,LACROSSE,MID-SIZE,3.6,6,AS6,X,13.7,8.7,264
146,BUICK,LACROSSE,MID-SIZE,3.6,6,AS6,E,18.4,12.2,250
147,BUICK,LACROSSE AWD,MID-SIZE,3.6,6,AS6,X,13.7,8.9,264
148,BUICK,LACROSSE AWD,MID-SIZE,3.6,6,AS6,E,19.4,13,264
149,BUICK,LACROSSE eASSIST,MID-SIZE,2.4,4,AS6,X,9.6,6.5,189
150,BUICK,REGAL,MID-SIZE,2,4,AS6,Z,11.5,7.9,228
151,BUICK,REGAL,MID-SIZE,2,4,M6,Z,11.6,7.5,225
152,BUICK,REGAL AWD,MID-SIZE,2,4,AS6,Z,12.3,8.7,246
153,BUICK,REGAL eASSIST,MID-SIZE,2.4,4,AS6,X,9.6,6.5,189
154,BUICK,VERANO,COMPACT,2,4,AS6,Z,11.5,7.9,228
155,BUICK,VERANO,COMPACT,2,4,M6,Z,11.6,7.5,225
156,BUICK,VERANO,COMPACT,2.4,4,AS6,X,11.3,7.4,218
157,CADILLAC,ATS,COMPACT,2,4,AS6,Z,11.3,7.5,221
158,CADILLAC,ATS,COMPACT,2,4,M6,Z,12.1,7.9,235
159,CADILLAC,ATS,COMPACT,2.5,4,AS6,X,10.5,7.2,207
160,CADILLAC,ATS,COMPACT,3.6,6,AS6,X,12.8,8.5,251
161,CADILLAC,ATS AWD,COMPACT,2,4,AS6,Z,11.8,8.1,232
162,CADILLAC,ATS AWD,COMPACT,3.6,6,AS6,X,13.1,9,260
163,CADILLAC,CTS COUPE,MID-SIZE,3.6,6,AS6,X,13.2,8.7,258
164,CADILLAC,CTS COUPE AWD,MID-SIZE,3.6,6,AS6,X,13.3,9,262
165,CADILLAC,CTS SEDAN,MID-SIZE,2,4,AS6,Z,11.9,7.9,232
166,CADILLAC,CTS SEDAN,MID-SIZE,3.6,6,AS8,X,12.9,8.2,248
167,CADILLAC,CTS SEDAN AWD,MID-SIZE,2,4,AS6,Z,12.6,8.5,248
168,CADILLAC,CTS SEDAN AWD,MID-SIZE,3.6,6,AS6,X,13.1,9,260
169,CADILLAC,CTS SEDAN Vsport,MID-SIZE,3.6,6,AS8,Z,15.1,9.9,294
170,CADILLAC,CTS SPORT WAGON,STATION WAGON - SMALL,3,6,AS6,X,12.7,8.9,253
171,CADILLAC,CTS SPORT WAGON,STATION WAGON - SMALL,3.6,6,AS6,X,13.3,8.9,260
172,CADILLAC,CTS SPORT WAGON AWD,STATION WAGON - SMALL,3,6,AS6,X,12.8,9.1,255
173,CADILLAC,CTS SPORT WAGON AWD,STATION WAGON - SMALL,3.6,6,AS6,X,13.3,9,262
174,CADILLAC,CTS-V COUPE,MID-SIZE,6.2,8,AS6,Z,19.7,12.9,382
175,CADILLAC,CTS-V COUPE,MID-SIZE,6.2,8,M6,Z,16.7,12.5,340
176,CADILLAC,CTS-V SEDAN,MID-SIZE,6.2,8,AS6,Z,19.7,12.9,382
177,CADILLAC,CTS-V SEDAN,MID-SIZE,6.2,8,M6,Z,16.7,12.5,340
178,CADILLAC,CTS-V SPORT WAGON,STATION WAGON - SMALL,6.2,8,AS6,Z,19.7,12.9,382
179,CADILLAC,CTS-V SPORT WAGON,STATION WAGON - SMALL,6.2,8,M6,Z,16.7,12.5,340
180,CADILLAC,ESCALADE AWD,SUV - STANDARD,6.2,8,A6,Z,17,11.8,338
181,CADILLAC,ESCALADE AWD,SUV - STANDARD,6.2,8,A6,E,23.3,16.1,322
182,CADILLAC,ESCALADE ESV AWD,SUV - STANDARD,6.2,8,A6,Z,18.8,13.4,377
183,CADILLAC,ESCALADE ESV AWD,SUV - STANDARD,6.2,8,A6,E,25.7,17.8,354
184,CADILLAC,SRX,SUV - STANDARD,3.6,6,AS6,X,14.3,9.8,283
185,CADILLAC,SRX AWD,SUV - STANDARD,3.6,6,AS6,X,14.8,10.4,294
186,CADILLAC,XTS,FULL-SIZE,3.6,6,AS6,X,13.6,8.6,262
187,CADILLAC,XTS AWD,FULL-SIZE,3.6,6,AS6,X,14,9.1,271
188,CADILLAC,XTS Vsport AWD,FULL-SIZE,3.6,6,AS6,Z,14.8,9.8,290
189,CHEVROLET,CAMARO,COMPACT,3.6,6,AS6,X,13.2,8.7,258
190,CHEVROLET,CAMARO,COMPACT,3.6,6,M6,X,14.2,8.6,269
191,CHEVROLET,CAMARO 2LS,COMPACT,3.6,6,AS6,X,12.7,7.9,242
192,CHEVROLET,CAMARO SS,COMPACT,6.2,8,AS6,Z,15.3,9.8,294
193,CHEVROLET,CAMARO SS,COMPACT,6.2,8,M6,Z,15,9.9,292
194,CHEVROLET,CAMARO ZL1,COMPACT,6.2,8,AS6,Z,19.7,12.9,382
195,CHEVROLET,CAMARO ZL1,COMPACT,6.2,8,M6,Z,16.7,12.5,340
196,CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,AS6,Z,14.9,8.5,276
197,CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,M7,Z,13.7,8.2,258
198,CHEVROLET,CRUZE,MID-SIZE,1.4,4,AS6,X,9.1,6.3,179
199,CHEVROLET,CRUZE,MID-SIZE,1.4,4,M6,X,9.1,6.3,179
200,CHEVROLET,CRUZE,MID-SIZE,1.8,4,AS6,X,10.5,6.7,202
201,CHEVROLET,CRUZE,MID-SIZE,1.8,4,M6,X,9.5,6.5,189
202,CHEVROLET,CRUZE DIESEL,MID-SIZE,2,4,AS6,D,8.7,5.1,192
203,CHEVROLET,CRUZE ECO,MID-SIZE,1.4,4,A6,X,9.1,6,177
204,CHEVROLET,CRUZE ECO,MID-SIZE,1.4,4,M6,X,8.4,5.6,163
205,CHEVROLET,EQUINOX,SUV - SMALL,2.4,4,A6,X,10.5,7.3,209
206,CHEVROLET,EQUINOX,SUV - SMALL,3.6,6,A6,X,13.9,9.6,276
207,CHEVROLET,EQUINOX,SUV - SMALL,3.6,6,A6,E,18.8,13.1,259
208,CHEVROLET,EQUINOX AWD,SUV - SMALL,2.4,4,A6,X,11.5,8.2,230
209,CHEVROLET,EQUINOX AWD,SUV - SMALL,3.6,6,A6,X,14.8,9.9,290
210,CHEVROLET,EQUINOX AWD,SUV - SMALL,3.6,6,A6,E,19.8,13.6,272
211,CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,4.3,6,A4,X,17.1,12.7,347
212,CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,5.3,8,A4,X,18,13.4,366
213,CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,5.3,8,A4,E,23.5,17.7,334
214,CHEVROLET,EXPRESS 1500 CARGO AWD,VAN - CARGO,5.3,8,A4,X,18.3,14.2,380
215,CHEVROLET,EXPRESS 1500 CARGO AWD,VAN - CARGO,5.3,8,A4,E,23.7,18.8,344
216,CHEVROLET,EXPRESS 1500 CARGO CONV,VAN - CARGO,5.3,8,A4,X,18.6,13.9,380
217,CHEVROLET,EXPRESS 1500 CARGO CONV,VAN - CARGO,5.3,8,A4,E,23.9,18.5,344
218,CHEVROLET,EXPRESS 1500 CARGO CONV AWD,VAN - CARGO,5.3,8,A4,X,18.3,14.2,380
219,CHEVROLET,EXPRESS 1500 CARGO CONV AWD,VAN - CARGO,5.3,8,A4,E,25.3,19.3,362
220,CHEVROLET,EXPRESS 1500 PASSENGER,VAN - PASSENGER,5.3,8,A4,X,18.6,13.9,380
221,CHEVROLET,EXPRESS 1500 PASSENGER,VAN - PASSENGER,5.3,8,A4,E,23.9,18.5,344
222,CHEVROLET,EXPRESS 1500 PASSENGER AWD,VAN - PASSENGER,5.3,8,A4,X,18.3,14.2,380
223,CHEVROLET,EXPRESS 1500 PASSENGER AWD,VAN - PASSENGER,5.3,8,A4,E,25.3,19.3,362
224,CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,4.8,8,A6,X,21.1,14.2,414
225,CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,6,8,A6,X,21.9,15,432
226,CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,6,8,A6,E,30,20.4,411
227,CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,4.8,8,A6,X,21.3,14.3,419
228,CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,6,8,A6,X,22.1,15,435
229,CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,6,8,A6,E,30.2,20.5,413
230,CHEVROLET,IMPALA,FULL-SIZE,2.5,4,AS6,X,11.3,7.5,221
231,CHEVROLET,IMPALA,FULL-SIZE,3.6,6,AS6,X,12.6,8.2,244
232,CHEVROLET,IMPALA,FULL-SIZE,3.6,6,AS6,E,16.7,11.3,229
233,CHEVROLET,IMPALA ECO,FULL-SIZE,2.4,4,AS6,X,10,7,200
234,CHEVROLET,MALIBU,MID-SIZE,2,4,AS6,Z,11.5,7.9,228
235,CHEVROLET,MALIBU,MID-SIZE,2.5,4,AS6,X,9.3,6.4,184
236,CHEVROLET,ORLANDO,SUV - SMALL,2.4,4,AS6,X,12.2,8.6,244
237,CHEVROLET,ORLANDO,SUV - SMALL,2.4,4,M6,X,11.8,8.3,235
238,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,A6,X,13.4,9.9,271
239,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,A6,E,18.9,14.2,269
240,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,A6,X,14.6,10.3,292
241,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,A6,E,19.5,13.7,270
242,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,6.2,8,A6,Z,16.3,11.4,324
243,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,4.3,6,A6,X,14.2,10.6,290
244,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,4.3,6,A6,E,20,15.1,285
245,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,5.3,8,A6,X,14.9,10.6,299
246,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,5.3,8,A6,E,19.9,14.2,277
247,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,6.2,8,A6,Z,16.4,11.7,329
248,CHEVROLET,SONIC,COMPACT,1.4,4,AS6,X,9.1,6.7,184
249,CHEVROLET,SONIC,COMPACT,1.4,4,M6,X,8.5,6.2,173
250,CHEVROLET,SONIC,COMPACT,1.8,4,AS6,X,9.6,6.6,191
251,CHEVROLET,SONIC,COMPACT,1.8,4,M5,X,8.9,6.7,182
252,CHEVROLET,SONIC RS,COMPACT,1.4,4,AS6,X,9.4,7,191
253,CHEVROLET,SONIC RS,COMPACT,1.4,4,M6,X,8.8,7,184
254,CHEVROLET,SONIC 5,MID-SIZE,1.4,4,AS6,X,9.1,6.7,184
255,CHEVROLET,SONIC 5,MID-SIZE,1.4,4,M6,X,8.5,6.2,172
256,CHEVROLET,SONIC 5,MID-SIZE,1.8,4,AS6,X,9.6,6.6,191
257,CHEVROLET,SONIC 5,MID-SIZE,1.8,4,M5,X,8.9,6.7,182
258,CHEVROLET,SONIC 5 RS,MID-SIZE,1.4,4,AS6,X,9.4,7,191
259,CHEVROLET,SONIC 5 RS,MID-SIZE,1.4,4,M6,X,8.8,7,184
260,CHEVROLET,SPARK,SUBCOMPACT,1.2,4,AV,X,7.7,6,159
261,CHEVROLET,SPARK,SUBCOMPACT,1.2,4,M5,X,7.6,6,159
262,CHEVROLET,SUBURBAN,SUV - STANDARD,5.3,8,A6,X,16,11.1,317
263,CHEVROLET,SUBURBAN,SUV - STANDARD,5.3,8,A6,E,21.5,14.6,294
264,CHEVROLET,SUBURBAN 4WD,SUV - STANDARD,5.3,8,A6,X,16,11.1,317
265,CHEVROLET,SUBURBAN 4WD,SUV - STANDARD,5.3,8,A6,E,21.5,14.6,294
266,CHEVROLET,TAHOE,SUV - STANDARD,5.3,8,A6,X,16,11.1,317
267,CHEVROLET,TAHOE,SUV - STANDARD,5.3,8,A6,E,21.5,14.6,294
268,CHEVROLET,TAHOE 4WD,SUV - STANDARD,5.3,8,A6,X,16,11.1,317
269,CHEVROLET,TAHOE 4WD,SUV - STANDARD,5.3,8,A6,E,21.5,14.6,294
270,CHEVROLET,TRAVERSE,SUV - STANDARD,3.6,6,A6,X,14.3,9.9,283
271,CHEVROLET,TRAVERSE AWD,SUV - STANDARD,3.6,6,A6,X,14.6,10.2,290
272,CHEVROLET,TRAX,SUV - SMALL,1.4,4,AS6,X,9.4,7.1,193
273,CHEVROLET,TRAX,SUV - SMALL,1.4,4,M6,X,9.1,6.8,186
274,CHEVROLET,TRAX AWD,SUV - SMALL,1.4,4,AS6,X,10,7.8,207
275,CHRYSLER,300,FULL-SIZE,3.6,6,A8,X,12.4,7.7,237
276,CHRYSLER,200 CONVERTIBLE,COMPACT,2.4,4,A4,X,11.7,8.2,232
277,CHRYSLER,200 CONVERTIBLE,COMPACT,2.4,4,A6,X,12.9,8.1,246
278,CHRYSLER,200 CONVERTIBLE FFV,COMPACT,3.6,6,A6,X,12.5,8.1,242
279,CHRYSLER,200 CONVERTIBLE FFV,COMPACT,3.6,6,A6,E,17,11.2,230
280,CHRYSLER,200 SEDAN,MID-SIZE,2.4,4,A4,X,11.2,8,225
281,CHRYSLER,200 SEDAN,MID-SIZE,2.4,4,A6,X,12,7.6,230
282,CHRYSLER,200 SEDAN FFV,MID-SIZE,3.6,6,A6,X,12.5,8.1,242
283,CHRYSLER,200 SEDAN FFV,MID-SIZE,3.6,6,A6,E,17,11.2,230
284,CHRYSLER,300 (MDS),FULL-SIZE,5.7,8,A5,X,15.8,9.2,294
285,CHRYSLER,300 AWD,FULL-SIZE,3.6,6,A8,X,12.8,8.6,251
286,CHRYSLER,300 AWD (MDS),FULL-SIZE,5.7,8,A5,X,16.1,10,308
287,CHRYSLER,300 AWD FFV,FULL-SIZE,3.6,6,A8,X,12.8,8.6,251
288,CHRYSLER,300 AWD FFV,FULL-SIZE,3.6,6,A8,E,17.3,11.7,237
289,CHRYSLER,300 FFV,FULL-SIZE,3.6,6,A8,X,12.4,7.7,237
290,CHRYSLER,300 FFV,FULL-SIZE,3.6,6,A8,E,16.8,10.3,222
291,CHRYSLER,300 SRT (MDS),FULL-SIZE,6.4,8,A5,Z,16.7,10.3,317
292,CHRYSLER,TOWN & COUNTRY FFV,MINIVAN,3.6,6,A6,X,14.1,9.5,276
293,CHRYSLER,TOWN & COUNTRY FFV,MINIVAN,3.6,6,A6,E,19.7,13.3,269
